0,0.000000,-0.057786,0.756050,0.101929,1.262855,0.837266,3.901997,1.383739,0.860802,3.758497,-1.176565,1.086227,-0.285218,,,,,,,,,
1,0.016667,-0.057779,0.756029,0.101922,1.262830,0.837288,3.901896,1.383638,0.860854,3.758266,-1.176594,1.086346,-0.285178,,,,,,,,,
2,0.033333,-0.057776,0.756042,0.101925,1.262800,0.837305,3.901844,1.383686,0.860793,3.758474,-1.176593,1.086330,-0.285155,,,,,,,,,
3,0.050000,-0.057772,0.756035,0.101919,1.262852,0.837283,3.901899,1.383711,0.860810,3.758467,-1.176604,1.086285,-0.285097,,,,,,,,,
4,0.066667,-0.057766,0.756030,0.101925,1.262830,0.837284,3.901953,1.383676,0.860804,3.758434,-1.176669,1.086378,-0.284926,,,,,,,,,
5,0.083333,-0.057048,0.755504,0.101511,1.262832,0.837283,3.901913,1.383637,0.860816,3.758320,-1.176663,1.086471,-0.284772,,,,,,,,,
6,0.100000,-0.057768,0.756028,0.101924,1.262827,0.837320,3.901894,1.383692,0.860783,3.758455,-1.176631,1.086233,-0.284680,,,,,,,,,
7,0.116667,-0.057781,0.756024,0.101929,1.262849,0.837278,3.901892,1.383682,0.860825,3.758387,-1.176573,1.085788,-0.284692,,,,,,,,,
8,0.133333,-0.057772,0.756014,0.101919,1.262834,0.837253,3.901915,1.383677,0.860809,3.758446,-1.176538,1.085454,-0.284630,,,,,,,,,
9,0.150000,-0.057777,0.756052,0.101932,1.262810,0.837298,3.901905,1.383670,0.860813,3.758373,-1.176482,1.085223,-0.284609,,,,,,,,,
10,0.166667,-0.057786,0.756042,0.101923,1.262845,0.837295,3.902008,1.383746,0.860755,3.758507,-1.176455,1.085035,-0.284585,,,,,,,,,
11,0.183333,-0.057747,0.756024,0.101930,1.262860,0.837277,3.901939,1.383636,0.860814,3.758333,-1.176395,1.084820,-0.284555,,,,,,,,,
12,0.200000,-0.057776,0.756039,0.101926,1.262875,0.837279,3.901974,1.383644,0.860848,3.758333,-1.176321,1.084585,-0.284577,,,,,,,,,
13,0.216667,-0.057056,0.755506,0.101514,1.262883,0.837256,3.902075,1.383693,0.860799,3.758404,-1.176252,1.084392,-0.284595,,,,,,,,,
14,0.233333,-0.057784,0.756052,0.101927,1.262924,0.837220,3.902079,1.383639,0.860861,3.758274,-1.176199,1.084257,-0.284555,,,,,,,,,
15,0.250000,-0.057774,0.756044,0.101930,1.262820,0.837317,3.901817,1.383701,0.860837,3.758366,-1.176147,1.084119,-0.284531,,,,,,,,,
16,0.266667,-0.057771,0.756037,0.101925,1.262817,0.837284,3.901892,1.383679,0.860821,3.758394,-1.176092,1.084007,-0.284593,,,,,,,,,
17,0.283333,-0.057764,0.756029,0.101926,1.262831,0.837305,3.901863,1.383710,0.860779,3.758474,-1.176074,1.084036,-0.284670,,,,,,,,,
18,0.300000,-0.057758,0.756024,0.101924,1.262815,0.837302,3.901836,1.383667,0.860821,3.758368,-1.176091,1.084267,-0.284725,,,,,,,,,
19,0.316667,-0.057777,0.756051,0.101932,1.262820,0.837272,3.902000,1.383637,0.860823,3.758360,-1.176075,1.084449,-0.284808,,,,,,,,,
